груша,20,11,2024-06-23
слива,5,15,2024-06-09
слива,17,15,2024-06-14
печенье,3,23,2024-06-26
груша,2,11,2024-06-25
печенье,9,23,2024-06-18
конфета,7,22,2024-06-06
яблоко,5,15,2024-06-20
груша,12,11,2024-06-03
слива,1,15,2024-06-06
конфета,6,22,2024-06-05
конфета,2,22,2024-06-02
конфета,16,22,2024-06-07
груша,2,11,2024-06-11
груша,15,11,2024-06-11
конфета,4,22,2024-06-28
слива,6,15,2024-06-09
яблоко,5,15,2024-06-05
груша,10,11,2024-06-10
конфета,10,22,2024-06-17
слива,16,15,2024-06-11
конфета,8,22,2024-06-22
конфета,16,22,2024-06-28
печенье,12,23,2024-06-13
конфета,5,22,2024-06-03
печенье,7,23,2024-06-24
яблоко,12,15,2024-06-26
яблоко,5,15,2024-06-07
слива,9,15,2024-06-27
груша,5,11,2024-06-11
груша,6,11,2024-06-21
конфета,12,22,2024-06-19
конфета,19,22,2024-06-27
слива,3,15,2024-06-09
конфета,1,22,2024-06-21
слива,9,15,2024-06-15
груша,5,11,2024-06-16
конфета,6,22,2024-06-19
конфета,15,22,2024-06-21
печенье,2,23,2024-06-29
яблоко,10,15,2024-06-07
яблоко,19,15,2024-06-14
слива,19,15,2024-06-23
груша,15,11,2024-06-11
яблоко,5,15,2024-06-20
печенье,12,23,2024-06-12
яблоко,16,15,2024-06-05
печенье,4,23,2024-06-16
яблоко,18,15,2024-06-02
груша,17,11,2024-06-04
печенье,10,23,2024-06-02
яблоко,10,15,2024-06-16
конфета,3,22,2024-06-28
груша,13,11,2024-06-04
печенье,14,23,2024-06-05
яблоко,19,15,2024-06-07
конфета,19,22,2024-06-15
конфета,19,22,2024-06-08
печенье,6,23,2024-06-21
печенье,14,23,2024-06-16
яблоко,12,15,2024-06-02
слива,20,15,2024-06-19
яблоко,11,15,2024-06-26
слива,17,15,2024-06-24
слива,20,15,2024-06-21
конфета,9,22,2024-06-02
груша,8,11,2024-06-26
слива,19,15,2024-06-08
конфета,15,22,2024-06-12
груша,9,11,2024-06-03
печенье,18,23,2024-06-28
груша,19,11,2024-06-17
груша,6,11,2024-06-22
конфета,10,22,2024-06-15
груша,1,11,2024-06-12
печенье,7,23,2024-06-28
яблоко,9,15,2024-06-16
слива,14,15,2024-06-08
груша,4,11,2024-06-20
печенье,4,23,2024-06-01
слива,10,15,2024-06-20
яблоко,11,15,2024-06-10
слива,3,15,2024-06-05
слива,9,15,2024-06-25
яблоко,9,15,2024-06-21
яблоко,16,15,2024-06-24
печенье,2,23,2024-06-06
груша,6,11,2024-06-07
конфета,19,22,2024-06-20
печенье,6,23,2024-06-20
слива,19,15,2024-06-01
конфета,14,22,2024-06-18
печенье,9,23,2024-06-17
конфета,19,22,2024-06-18
груша,19,11,2024-06-24
груша,18,11,2024-06-19
яблоко,7,15,2024-06-09
слива,20,15,2024-06-11
слива,18,15,2024-06-05
яблоко,8,15,2024-06-09
печенье,16,23,2024-06-20
слива,8,15,2024-06-27
слива,1,15,2024-06-10
конфета,10,22,2024-06-06
яблоко,5,15,2024-06-05
конфета,12,22,2024-06-04
печенье,9,23,2024-06-01
слива,5,15,2024-06-01
конфета,1,22,2024-06-05
печенье,6,23,2024-06-27
яблоко,16,15,2024-06-21
яблоко,7,15,2024-06-21
