яблоко,13,15,2024-06-09
груша,8,11,2024-06-19
груша,8,11,2024-06-09
конфета,2,22,2024-06-07
конфета,20,22,2024-06-17
яблоко,7,15,2024-06-15
печенье,11,23,2024-06-24
печенье,12,23,2024-06-24
яблоко,11,15,2024-06-09
печенье,11,23,2024-06-28
конфета,13,22,2024-06-27
слива,11,15,2024-06-16
яблоко,18,15,2024-06-01
слива,6,15,2024-06-04
яблоко,18,15,2024-06-16
яблоко,6,15,2024-06-08
яблоко,13,15,2024-06-18
яблоко,20,15,2024-06-14
печенье,9,23,2024-06-06
печенье,19,23,2024-06-11
печенье,14,23,2024-06-29
печенье,8,23,2024-06-20
груша,16,11,2024-06-29
яблоко,4,15,2024-06-15
конфета,20,22,2024-06-19
слива,13,15,2024-06-27
груша,4,11,2024-06-08
слива,6,15,2024-06-26
яблоко,20,15,2024-06-03
конфета,13,22,2024-06-17
слива,16,15,2024-06-24
слива,4,15,2024-06-28
груша,19,11,2024-06-12
груша,3,11,2024-06-10
слива,14,15,2024-06-05
конфета,3,22,2024-06-08
печенье,18,23,2024-06-11
конфета,20,22,2024-06-05
печенье,9,23,2024-06-19
печенье,15,23,2024-06-17
конфета,19,22,2024-06-26
слива,3,15,2024-06-13
печенье,19,23,2024-06-07
груша,16,11,2024-06-15
груша,3,11,2024-06-20
слива,5,15,2024-06-01
печенье,6,23,2024-06-16
яблоко,9,15,2024-06-29
груша,3,11,2024-06-24
конфета,12,22,2024-06-28
конфета,19,22,2024-06-23
груша,5,11,2024-06-14
слива,3,15,2024-06-20
яблоко,7,15,2024-06-04
груша,12,11,2024-06-26
слива,3,15,2024-06-13
слива,5,15,2024-06-27
груша,9,11,2024-06-21
конфета,19,22,2024-06-14
яблоко,19,15,2024-06-10
конфета,15,22,2024-06-22
слива,3,15,2024-06-26
слива,17,15,2024-06-18
яблоко,3,15,2024-06-22
печенье,1,23,2024-06-21
груша,11,11,2024-06-15
яблоко,1,15,2024-06-11
печенье,2,23,2024-06-29
груша,20,11,2024-06-29
печенье,7,23,2024-06-17
слива,20,15,2024-06-16
печенье,9,23,2024-06-22
груша,7,11,2024-06-06
печенье,1,23,2024-06-08
печенье,19,23,2024-06-11
слива,10,15,2024-06-20
слива,9,15,2024-06-12
яблоко,7,15,2024-06-12
конфета,4,22,2024-06-05
груша,6,11,2024-06-29
слива,1,15,2024-06-15
груша,12,11,2024-06-21
груша,12,11,2024-06-17
груша,4,11,2024-06-17
конфета,15,22,2024-06-09
печенье,12,23,2024-06-29
конфета,9,22,2024-06-27
груша,17,11,2024-06-16
яблоко,4,15,2024-06-21
яблоко,2,15,2024-06-27
конфета,6,22,2024-06-07
печенье,9,23,2024-06-14
конфета,2,22,2024-06-18
печенье,3,23,2024-06-20
слива,4,15,2024-06-22
слива,1,15,2024-06-09
печенье,13,23,2024-06-13
печенье,19,23,2024-06-18
печенье,7,23,2024-06-24
груша,14,11,2024-06-08
слива,13,15,2024-06-11
груша,4,11,2024-06-10
яблоко,3,15,2024-06-01
яблоко,3,15,2024-06-15
яблоко,13,15,2024-06-22
слива,9,15,2024-06-08
конфета,18,22,2024-06-02
груша,10,11,2024-06-13
груша,19,11,2024-06-10
слива,3,15,2024-06-16
печенье,2,23,2024-06-21
конфета,19,22,2024-06-01
печенье,8,23,2024-06-16
конфета,13,22,2024-06-12
яблоко,7,15,2024-06-18
яблоко,19,15,2024-06-16
печенье,19,23,2024-06-22
груша,7,11,2024-06-08
печенье,2,23,2024-06-19
слива,20,15,2024-06-22
конфета,7,22,2024-06-05
яблоко,18,15,2024-06-17
груша,20,11,2024-06-15
печенье,15,23,2024-06-27
слива,7,15,2024-06-07
конфета,16,22,2024-06-29
груша,16,11,2024-06-08
слива,16,15,2024-06-06
слива,17,15,2024-06-23
печенье,4,23,2024-06-20
яблоко,6,15,2024-06-20
печенье,9,23,2024-06-28
слива,19,15,2024-06-16
груша,19,11,2024-06-01
слива,17,15,2024-06-13
груша,9,11,2024-06-11
конфета,12,22,2024-06-16
конфета,19,22,2024-06-25
груша,10,11,2024-06-01
конфета,14,22,2024-06-02
слива,8,15,2024-06-27
печенье,18,23,2024-06-13
слива,1,15,2024-06-09
яблоко,6,15,2024-06-08
яблоко,14,15,2024-06-10
яблоко,3,15,2024-06-03
яблоко,4,15,2024-06-12
яблоко,11,15,2024-06-12
груша,11,11,2024-06-26
груша,19,11,2024-06-01
конфета,7,22,2024-06-24
груша,3,11,2024-06-03
груша,9,11,2024-06-12
слива,15,15,2024-06-15
яблоко,14,15,2024-06-25
слива,11,15,2024-06-21
конфета,8,22,2024-06-24
яблоко,20,15,2024-06-28
конфета,1,22,2024-06-12
печенье,9,23,2024-06-25
груша,1,11,2024-06-28
груша,2,11,2024-06-03
слива,14,15,2024-06-08
слива,4,15,2024-06-20
